year,company,company_alt_names,rank,CEO,CEO_alt_names,second_CEO,second_CEO_alt_names,third_CEO,third_CEO_alt_names,wiki_page_snapshot,wiki_page_live
2026,Public Service Enterprise Group,,360,Ralph LaRossa,,,,,,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group
2026,KLA,,361,Richard P. Wallace,,,,,,https://en.wikipedia.org/wiki/KLA_Corporation,https://en.wikipedia.org/wiki/KLA_Corporation
2026,Expand Energy,Chesapeake Energy,362,Michael Wichterich,,,,,,https://en.wikipedia.org/wiki/Expand_Energy,https://en.wikipedia.org/wiki/Expand_Energy
2026,Hormel Foods,,363,Jeff Ettinger,,,,,,https://en.wikipedia.org/wiki/Hormel_Foods,https://en.wikipedia.org/wiki/Hormel_Foods
2026,Darden Restaurants,,364,Rick Cardenas,,,,,,https://en.wikipedia.org/wiki/Darden_Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants
2026,Citizens Financial Group,,365,Bruce Van Saun,Bruce W. Van Saun,,,,,https://en.wikipedia.org/wiki/Citizens_Financial_Group,https://en.wikipedia.org/wiki/Citizens_Financial_Group
2026,Mosaic,,366,Bruce Bodine,,,,,,https://en.wikipedia.org/wiki/The_Mosaic_Company,https://en.wikipedia.org/wiki/The_Mosaic_Company
2026,Hilton Worldwide Holdings,,367,Christopher J. Nassetta,Christopher Nassetta,,,,,https://en.wikipedia.org/wiki/Hilton_Worldwide,https://en.wikipedia.org/wiki/Hilton_Worldwide
2026,Air Products & Chemicals,,368,Eduardo F. Menezes,,,,,,https://en.wikipedia.org/wiki/Air_Products,https://en.wikipedia.org/wiki/Air_Products
2026,Jacobs Solutions,,369,Bob Pragada,,,,,,https://en.wikipedia.org/wiki/Jacobs_Solutions,https://en.wikipedia.org/wiki/Jacobs_Solutions
2026,Vertex Pharmaceuticals,,370,Reshma Kewalramani,,,,,,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals
2026,J.B. Hunt Transport Services,,371,Shelley Simpson,,,,,,https://en.wikipedia.org/wiki/J._B._Hunt,https://en.wikipedia.org/wiki/J._B._Hunt
2026,Booz Allen Hamilton Holding,,372,Horacio D. Rozanski,Horacio Rozanski,,,,,https://en.wikipedia.org/wiki/Booz_Allen_Hamilton,https://en.wikipedia.org/wiki/Booz_Allen_Hamilton
2026,Williams,,373,Chad Zamarin,,,,,,https://en.wikipedia.org/wiki/Williams_Companies,https://en.wikipedia.org/wiki/Williams_Companies
2026,Chipotle Mexican Grill,,374,Scott Boatwright,,,,,,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill
2026,Yum China Holdings,,375,Joey Wat,,,,,,https://en.wikipedia.org/wiki/Yum_China,https://en.wikipedia.org/wiki/Yum_China
2026,Oscar Health,,376,Mark Bertolini,,,,,,https://en.wikipedia.org/wiki/Oscar_Health,https://en.wikipedia.org/wiki/Oscar_Health
2026,Hershey,,377,Kirk Tanner,,,,,,https://en.wikipedia.org/wiki/The_Hershey_Company,https://en.wikipedia.org/wiki/The_Hershey_Company
2026,Motorola Solutions,,378,Greg Brown,,,,,,https://en.wikipedia.org/wiki/Motorola_Solutions,https://en.wikipedia.org/wiki/Motorola_Solutions
2026,Equitable Holdings,,379,Mark Pearson,,,,,,https://en.wikipedia.org/wiki/Equitable_Holdings,https://en.wikipedia.org/wiki/Equitable_Holdings
